First Arrival	Channel 1	
1	3.4686	
1	3.5072	
1	2.9646	
1	0.2997	
1	2.6531	
1	0.2563	
1	3.2616	
1	3.1882	
1	0.2512	
1	9.4517	
1	0.2963	
1	1.9924	
1	0.566	
1	3.0832	
1	2.218	
1	2.4706	
1	3.1881	
1	3.4333	
1	3.6979	
1	0.5017	
1	3.1719	
1	0.2491	
1	3.1704	
1	3.1653	
1	3.271	
1	0.891	
1	3.535	
1	2.7165	
1	0.2056	
1	1.9946	
1	1.7922	
1	0.2337	
1	2.7006	
1	0.2874	
1	2.7606	
1	2.7042	
1	6.3665	
1	1.0216	
1	3.5223	
1	2.7651	
1	2.6325	
1	3.0067	
1	0.1145	
1	2.9662	
1	0.2927	
1	3.4485	
1	2.4262	
1	2.2432	
1	2.2818	
1	2.4304	
1	0.2611	
1	2.4842	
1	2.42	
1	3.1223	
1	3.209	
1	2.4361	
1	2.4862	
1	2.4505	
1	2.9944	
1	2.9591	
1	2.5556	
1	0.3772	
1	2.4475	
1	0.2281	
1	2.3503	
1	2.8051	
1	2.7432	
1	2.7676	
1	0.4026	
1	2.5684	
1	0.24	
1	2.7977	
1	2.852	
1	3.021	
1	0.2633	
1	3.483	
1	2.2185	
1	3.3798	
1	0.308	
1	3.2102	
1	2.0771	
1	0.4982	
1	3.0021	
1	2.8167	
1	0.3984	
1	2.5811	
1	0.4522	
1	2.4322	
1	0.1784	
1	2.7456	
1	3.3529	
1	2.7913	
1	3.7616	
1	3.034	
1	3.3053	
1	3.0287	
1	1.4289	
1	2.4912	
1	0.1286	
1	2.6262	
1	0.245	
1	2.8636	
1	0.2501	
1	3.8904	
1	4.2195	
1	3.3209	
1	0.286	
1	2.7183	
1	0.5428	
1	2.4303	
1	2.6908	
1	0.7038	
1	3.27	
1	2.3223	
1	0.3611	
1	2.2039	
1	0.8417	
1	2.1612	
1	0.1995	
1	2.0268	
1	0.2049	
1	2.2763	
1	0.3496	
1	2.4188	
1	0.5203	
1	2.1218	
1	2.5394	
1	0.6209	
1	2.8728	
1	0.2002	
1	2.8185	
1	0.1722	
1	2.6816	
1	3.0434	
1	1.2463	
1	1.2447	
1	1.6175	
1	1.2596	
1	2.99	
1	0.1172	
1	2.4845	
1	2.7747	
1	2.5144	
1	0.1008	
1	2.3047	
1	5.6914	
1	2.1841	
1	0.4464	
1	2.7698	
1	0.5137	
1	2.2336	
1	5.7223	
1	3.0073	
1	2.32	
1	2.7247	
1	2.6064	
1	0.2958	
1	2.3548	
1	0.5284	
1	3.0417	
-1	0.1399	
1	2.2927	
1	2.1861	
1	0.1733	
1	2.376	
1	0.2994	
1	2.6897	
1	2.2703	
1	2.4831	
1	0.2367	
1	2.0541	
1	2.0084	
1	1.9448	
1	1.0651	
1	2.9297	
1	0.6335	
1	2.1977	
1	0.8686	
1	2.0288	
1	2.4738	
1	0.1791	
1	2.2207	
1	2.1795	
1	2.2238	
1	2.189	
1	2.0732	
1	2.8156	
1	2.0912	
1	2.3907	
1	0.2884	
1	2.6918	
1	0.6467	
1	2.5131	
1	0.4458	
1	2.3755	
1	0.5514	
1	2.5678	
1	2.9592	
1	1.1656	
1	2.9096	
1	0.2319	
1	2.3132	
1	0.328	
1	2.3139	
1	1.899	
1	2.2814	
1	2.3614	
1	2.003	
1	1.7379	
1	2.3209	
1	2.5566	
1	2.8568	
1	0.3028	
1	2.5873	
1	0.5078	
1	1.9522	
1	2.1445	
1	2.8118	
1	2.1756	
1	2.0379	
1	2.8662	
1	2.7079	
1	0.1439	
1	2.3338	
1	2.0684	
1	3.1507	
1	2.6229	
1	2.4105	
1	2.6331	
1	2.8064	
1	0.4993	
1	2.7032	
