Event No.	Time	X	Y	Z	Arr Time 1
1	5.592				36.3
2	18.823				36.4
3	18.829				21.2
4	27.681				36.2
5	38.444				36.2
6	48.526				34.8
7	48.532				31.0
8	56.727				36.1
9	69.202				36.1
10	78.627				36.0
11	87.504				36.0
12	87.510				29.6
13	99.325				36.3
14	109.613				36.1
15	120.123				36.2
16	120.132				49.7
17	173.373				36.5
18	173.379				66.5
19	184.928				35.7
20	193.428				36.5
21	193.435				31.3
22	202.944				35.8
23	213.184				36.6
24	221.780				36.2
25	235.681				36.3
26	243.071				36.2
27	250.298				36.1
28	265.393				36.6
29	265.399				35.7
30	272.802				36.5
31	272.808				56.2
32	297.631				36.2
33	307.985				36.2
34	316.280				36.2
35	316.287				24.1
36	323.836				36.1
37	330.531				36.4
38	339.393				36.3
39	346.540				36.1
40	346.546				55.3
41	353.876				36.1
42	363.574				36.1
43	371.625				35.8
44	379.822				36.5
45	379.828				23.3
46	387.511				36.2
47	387.517				25.6
48	455.761				36.0
49	465.161				36.3
50	492.003				35.1
51	499.130				36.0
52	499.135				31.4
53	506.293				36.0
54	515.846				36.4
55	515.854				40.0
56	523.928				36.0
57	531.436				36.2
58	540.723				36.3
59	540.730				24.9
60	586.618				36.4
61	592.209				36.5
62	592.217				66.7
63	597.822				35.8
64	606.546				36.3
65	614.201				36.5
66	623.898				36.2
67	631.388				36.6
68	631.395				67.4
69	638.837				36.1
70	647.001				36.0
71	655.777				36.0
72	655.786				19.3
73	664.962				35.8
74	675.139				36.1
75	725.596				36.4
76	733.806				36.0
77	733.812				49.6
78	743.715				36.6
79	743.720				40.3
80	752.876				36.5
81	760.941				36.2
82	760.946				57.7
83	768.585				36.4
84	777.309				36.2
85	784.830				36.0
86	784.837				28.9
87	801.078				36.3
88	808.711				36.6
89	816.570				36.2
90	824.542				36.2
91	867.604				43.4
92	880.914				36.3
93	888.397				36.3
94	888.406				19.0
95	896.596				36.1
96	896.602				24.7
97	904.536				35.9
98	912.311				36.2
99	925.574				36.4
100	936.571				35.4
101	936.577				49.1
102	943.254				36.1
103	952.110				36.4
104	964.045				36.5
105	1102.322				36.3
106	1102.327				21.3
107	1109.469				36.0
108	1115.548				36.4
109	1122.184				36.5
110	1122.193				28.3
111	1130.677				35.9
112	1138.799				36.3
113	1147.469				36.0
114	1153.724				36.5
115	1161.978				35.9
116	1169.262				36.7
117	1176.619				35.8
118	1184.353				34.7
119	1215.450				36.3
120	1215.455				56.5
121	1225.142				36.1
122	1234.494				36.6
123	1234.501				59.3
124	1244.876				35.8
125	1254.816				36.5
126	1261.833				36.6
127	1269.188				36.1
128	1276.611				36.1
129	1284.949				36.1
130	1292.888				35.8
131	1302.187				36.6
132	1310.690				36.2
133	1333.882				36.2
134	1333.888				23.5
135	1340.267				36.6
136	1347.844				36.5
137	1347.854				22.7
138	1360.213				35.7
139	1369.342				36.4
140	1379.124				36.5
141	1387.294				36.6
142	1393.898				36.1
143	1401.075				36.1
144	1401.082				25.0
145	1408.052				36.2
146	1416.202				36.0
147	1424.090				36.6
148	1424.098				20.2
149	1445.508				36.3
150	1451.173				36.6
151	1457.130				36.2
152	1463.932				36.1
153	1470.500				35.8
154	1477.300				35.7
155	1477.306				58.2
156	1487.300				36.1
157	1487.306				59.2
158	1493.867				36.1
159	1501.728				36.7
160	1509.169				35.9
161	1516.783				36.6
162	1525.067				36.1
163	1546.377				36.3
164	1557.967				35.1
165	1565.432				36.4
166	1574.729				35.6
167	1583.998				36.5
168	1584.006				30.4
169	1592.396				35.7
170	1601.316				35.9
171	1610.320				36.3
172	1619.046				36.5
173	1629.305				35.7
174	1629.311				41.5
175	1638.412				36.4
176	1638.418				27.8
177	1646.115				36.6
178	1646.122				42.5
179	1654.989				34.8
180	1676.068				36.4
181	1683.605				36.5
182	1693.633				36.5
183	1693.640				28.2
184	1700.789				35.8
185	1706.618				36.4
186	1715.840				36.6
187	1724.250				36.5
188	1731.730				36.5
189	1740.872				36.0
190	1749.918				35.6
191	1757.022				36.0
192	1765.049				36.0
193	1765.055				34.4
194	1772.316				34.8
195	1772.321				28.3
196	1780.083				33.7
197	1786.553				36.6
198	1803.506				35.2
199	1803.512				95.1
200	1812.931				36.5
201	1812.936				55.3
202	1820.994				36.5
203	1820.999				76.7
204	1829.517				36.3
205	1829.523				35.5
206	1837.019				36.3
207	1845.723				36.6
208	1855.013				36.4
209	1855.019				57.0
210	1863.259				36.5
211	1871.737				36.1
212	1871.743				25.7
213	1882.313				36.2
214	1882.319				48.8
215	1891.622				36.5
216	1899.074				36.0
217	1915.096				84.2
218	1942.795				36.3
219	1942.800				26.5
220	1950.622				36.4
221	1958.453				36.5
222	1967.586				36.4
223	1976.345				36.7
224	1983.267				36.4
225	1991.758				35.7
226	1991.768				30.0
227	2001.431				35.5
228	2007.568				36.6
229	2015.958				36.6
230	2024.425				36.4
231	2032.252				36.4
232	2076.857				47.0
233	2093.566				36.3
234	2093.571				48.0
235	2102.200				36.5
236	2109.795				36.5
237	2116.994				36.3
238	2117.000				23.0
239	2124.395				36.3
240	2130.916				35.9
241	2139.748				36.1
242	2139.753				43.4
243	2147.925				36.4
244	2154.361				36.5
245	2154.367				36.4
246	2162.057				36.2
