First Arrival	Channel 1	
-1	0.0000	
1	3.4378	
1	1.7571	
1	2.661	
1	1.9779	
1	2.0707	
1	1.9704	
1	1.5327	
1	2.0861	
1	1.9833	
1	0.1403	
1	2.0747	
1	0.3255	
1	2.618	
1	1.493	
1	2.1759	
1	2.2833	
1	0.1307	
1	1.8509	
1	2.5298	
1	0.1334	
1	2.8864	
1	2.081	
1	1.4924	
1	2.0425	
1	2.164	
1	0.4088	
1	2.5844	
1	2.231	
1	2.2419	
1	1.7266	
1	2.2999	
1	2.5153	
1	0.1871	
1	2.0271	
1	0.4376	
1	2.1989	
1	0.3467	
1	2.3602	
1	0.2753	
1	2.1937	
1	7.2221	
1	2.7778	
1	0.207	
1	2.0034	
1	2.2307	
1	1.7654	
1	2.2066	
1	2.3614	
1	2.1862	
1	2.0825	
1	2.3391	
1	1.8507	
1	1.7955	
1	1.7608	
1	1.7984	
1	0.252	
1	2.0376	
1	2.7874	
1	3.3946	
1	1.6088	
1	1.8485	
1	1.9343	
1	2.0298	
1	2.2074	
1	1.8799	
1	2.1418	
1	2.1045	
1	1.7261	
1	1.7452	
1	0.1056	
1	1.9641	
1	2.2772	
1	2.0817	
1	2.5803	
1	1.174	
1	2.7309	
1	1.0072	
1	2.323	
1	3.0398	
1	0.4382	
1	2.2097	
1	2.1125	
1	1.7942	
1	2.5901	
1	0.5474	
1	2.4844	
1	0.3881	
1	2.4982	
1	2.6353	
1	0.1061	
1	2.5379	
1	2.1275	
1	2.1307	
1	2.3142	
1	0.3375	
1	2.2318	
1	2.1111	
1	2.0668	
1	0.2785	
1	2.1251	
1	2.4243	
1	2.212	
1	1.6388	
1	0.0804	
1	2.1693	
1	0.2836	
1	2.4008	
1	3.232	
1	1.5041	
1	1.9411	
1	2.0412	
1	2.0976	
1	1.8186	
1	1.7086	
1	2.0812	
1	1.6855	
1	1.3974	
1	1.8184	
1	1.5381	
1	2.0735	
1	1.8676	
1	2.6402	
1	2.1954	
1	0.0901	
1	1.7605	
1	1.7947	
1	0.2458	
1	2.3054	
1	0.4855	
1	1.777	
1	0.1354	
1	2.5682	
1	2.8638	
1	2.5924	
1	0.2993	
1	2.0187	
1	1.7985	
1	1.6831	
1	1.856	
1	0.3471	
1	0.3272	
1	0.2728	
1	0.0795	
1	0.1109	
1	0.1113	
1	1.3137	
1	0.2265	
1	0.6359	
1	1.2636	
1	0.649	
1	0.035	
1	0.1894	
1	0.1055	
1	0.3358	
1	0.1017	
1	1.1849	
1	1.3565	
1	1.2252	
1	0.5907	
1	0.3576	
1	0.4616	
1	0.2674	
1	0.6007	
1	0.0443	
1	0.3785	
1	1.8783	
1	1.8546	
1	1.2711	
1	0.7123	
1	1.756	
1	0.1027	
1	0.2229	
1	0.1521	
1	0.1986	
1	0.0725	
1	1.7048	
1	0.5155	
1	0.5673	
1	0.5741	
1	0.0618	
1	0.2058	
1	0.433	
1	0.4719	
1	0.4402	
1	0.8314	
1	0.4752	
1	0.2763	
1	0.233	
1	0.4527	
1	1.7838	
1	0.7024	
1	0.1277	
1	0.2813	
1	1.0295	
1	0.0484	
1	0.7385	
1	0.124	
1	0.5416	
1	0.9408	
1	0.3341	
1	0.7884	
1	0.1155	
1	0.1424	
1	1.1994	
1	0.0905	
1	0.2613	
1	0.1288	
1	0.2999	
1	0.0985	
1	0.0927	
1	0.1086	
1	0.0605	
1	0.1368	
1	0.0681	
1	0.1437	
1	0.1317	
1	1.0637	
1	0.0425	
1	1.2944	
1	1.1022	
1	0.2293	
1	0.1371	
1	0.7356	
1	0.2248	
1	0.0802	
1	0.8633	
1	0.8372	
1	1.5311	
1	0.2988	
1	0.3459	
1	0.155	
1	2.2195	
1	0.7233	
1	0.0452	
1	0.504	
1	1.0855	
1	0.3637	
1	0.155	
1	0.1126	
1	0.1216	
1	1.4242	
1	0.0639	
1	0.1749	
-1	0.0003	
1	0.171	
1	0.2132	
1	0.6789	
1	0.6465	
1	0.3341	
1	0.1694	
1	0.3147	
1	0.2281	
1	1.0276	
1	0.1209	
1	0.0653	
1	0.0565	
1	0.3112	
1	0.8523	
1	0.1482	
1	0.9741	
1	0.1033	
1	0.611	
1	1.0599	
1	0.5988	
1	0.1314	
1	0.1023	
1	2.0736	
1	0.0444	
1	0.2446	
1	0.4109	
1	0.1072	
1	0.039	
1	0.4878	
1	0.1453	
1	1.2228	
1	0.6191	
1	0.3735	
1	0.1656	
1	0.6578	
1	0.3402	
1	0.1565	
1	0.0553	
1	0.0593	
1	0.0648	
1	0.1091	
1	0.4874	
1	0.424	
1	0.0625	
1	0.224	
1	1.883	
1	0.1309	
1	1.3491	
1	0.4861	
1	0.0566	
1	1.4427	
1	0.8286	
1	1.0124	
1	0.9968	
1	1.2911	
1	0.0499	
1	0.3252	
1	0.7328	
1	0.0752	
1	0.6276	
1	1.4437	
1	0.1919	
1	0.2319	
1	2.0591	
1	0.4187	
1	0.0492	
1	0.1693	
1	0.0684	
1	0.1815	
1	0.2989	
1	0.7354	
1	0.7461	
1	0.129	
1	0.1479	
1	0.0795	
1	0.6828	
1	1.1819	
1	1.113	
1	0.7209	
1	1.0952	
1	1.2538	
1	1.029	
1	0.0698	
1	0.7378	
1	0.1912	
1	0.6176	
1	1.3634	
1	0.4347	
1	0.4938	
1	0.3249	
1	0.8039	
1	0.4734	
1	0.1045	
1	0.0853	
1	0.3567	
1	0.0538	
1	0.2955	
1	0.7832	
1	0.1624	
1	0.4477	
1	0.2783	
1	0.3181	
1	0.3635	
1	0.1948	
1	0.9551	
1	0.534	
1	0.0576	
1	1.2985	
1	0.0579	
1	0.1017	
1	0.167	
1	0.0868	
1	0.1518	
1	0.6795	
1	1.4851	
1	0.0766	
1	0.7194	
1	0.4296	
1	0.9693	
1	0.3262	
1	0.0435	
1	1.5627	
1	0.4832	
1	0.9168	
1	0.149	
1	0.0507	
-1	0.0082	
