Event No.	Time	X	Y	Z	Arr Time 1
					
2	10.539				28.8
3	10.545				25.0
4	198.075				36.4
5	210.883				35.7
6	219.482				36.0
7	228.514				36.0
8	237.886				36.5
9	269.883				36.4
10	277.445				36.5
11	277.453				21.3
12	285.944				36.7
13	285.950				29.4
14	298.154				36.5
15	301.080				55.6
16	327.917				35.7
17	341.534				36.2
18	341.541				56.3
19	364.825				36.3
20	395.964				33.6
21	395.970				24.8
22	408.856				31.4
23	431.916				36.6
24	444.462				29.3
25	444.743				35.8
26	478.048				36.2
27	478.055				20.7
28	487.818				36.3
29	502.225				35.2
30	517.991				35.3
31	527.502				36.3
32	540.156				35.6
33	559.234				35.5
34	559.239				39.9
35	573.272				36.4
36	573.278				59.8
37	625.000				36.3
38	625.006				58.7
39	641.994				36.2
40	642.001				19.1
41	663.080				35.5
42	684.405				42.8
43	709.543				33.5
44	709.554				26.3
45	716.767				36.6
46	732.820				36.2
47	740.608				35.6
48	749.041				36.2
49	756.999				36.1
50	764.439				36.3
51	773.203				36.2
52	788.377				34.8
53	798.115				35.9
54	814.354				36.2
55	824.193				35.6
56	834.564				35.5
57	834.571				23.7
58	844.234				36.1
59	913.173				30.8
60	929.958				28.8
61	966.654				36.0
62	1027.654				36.4
63	1039.434				36.3
64	1047.689				36.6
65	1057.920				36.7
66	1067.157				36.1
67	1077.687				36.3
68	1089.910				36.2
69	1100.788				36.4
70	1111.472				36.0
71	1111.479				23.2
72	1123.127				36.6
73	1132.691				36.6
74	1150.354				36.7
75	1432.974				36.1
76	1432.979				62.5
77	1445.581				36.1
78	1445.585				50.8
79	1592.066				36.3
80	1613.607				36.4
81	1613.613				59.1
82	1626.127				35.4
83	1646.048				35.1
84	1657.900				36.5
85	1673.037				36.1
86	1673.043				62.3
87	1686.676				36.1
88	1686.683				23.1
89	1705.947				36.5
90	1717.825				36.0
91	1717.831				18.0
92	1743.859				36.3
93	1800.226				36.3
94	1826.063				36.5
95	1843.151				36.3
96	1843.158				25.6
97	1859.391				36.6
98	1909.624				36.4
99	1963.821				36.2
100	1963.827				59.8
101	2011.780				35.9
102	2033.671				36.4
103	2045.466				35.8
104	2093.900				36.3
105	2093.907				58.4
106	2116.077				36.3
107	2116.083				59.3
108	2128.477				36.1
109	2536.390				36.5
110	2542.432				36.2
111	2548.402				36.6
112	2553.903				36.4
113	2560.045				36.3
114	2565.776				36.5
115	2570.966				35.7
116	2577.033				36.4
117	2591.299				36.2
118	2598.980				35.9
119	2604.961				36.3
120	2609.636				35.5
121	2654.898				36.5
122	2661.346				35.6
123	2667.610				35.8
124	2674.521				35.9
125	2674.527				38.2
126	2680.784				36.7
127	2687.589				36.2
128	2687.599				66.8
129	2693.771				36.3
130	2693.777				50.4
131	2702.172				36.1
132	2702.178				54.0
133	2763.519				36.4
134	2772.598				36.5
135	2780.023				36.6
136	2780.030				30.6
137	2788.110				36.2
138	2795.312				35.9
139	2800.431				36.7
140	2812.016				36.7
141	2813.443				24.6
142	2813.448				24.7
143	2813.455				24.7
144	2813.469				24.4
145	2813.472				24.5
146	2813.626				24.6
147	2813.656				24.7
148	2813.669				24.7
149	2813.743				24.8
150	2813.754				24.6
151	2813.760				24.7
152	2813.768				24.3
153	2813.785				24.6
154	2813.792				24.9
155	2813.795				24.6
156	2813.802				24.5
157	2813.930				24.7
158	2813.955				24.5
159	2813.962				24.7
160	2813.969				24.6
161	2813.978				24.7
162	2813.986				24.6
163	2813.994				24.6
164	2818.785				24.7
165	2818.789				24.3
166	2818.797				24.6
167	2818.804				24.7
168	2818.812				24.7
169	2818.819				24.7
170	2818.829				22.6
171	2818.836				24.9
172	2818.841				25.3
173	2818.844				24.3
174	2818.856				24.9
175	2818.859				24.7
176	2818.864				24.4
177	2818.871				24.6
178	2818.875				24.7
179	2818.884				24.6
180	2818.891				24.6
181	2818.894				24.5
182	2818.902				25.0
183	2818.911				24.6
184	2818.917				24.6
185	2818.924				24.6
186	2818.993				25.1
187	2819.023				24.8
188	2819.031				24.6
189	2819.034				24.8
190	2819.042				24.6
191	2819.053				24.7
192	2819.058				25.0
193	2819.067				24.6
194	2819.076				24.7
195	2819.086				24.7
196	2819.089				23.6
197	2819.093				24.8
198	2819.117				24.9
199	2819.174				25.2
200	2819.188				24.7
201	2821.228				25.0
202	2821.235				24.6
203	2821.239				25.0
204	2821.246				24.3
205	2821.252				24.5
206	2821.254				24.6
207	2821.256				24.5
208	2821.260				24.5
209	2821.268				24.6
210	2821.273				24.5
211	2821.275				24.5
212	2821.282				26.4
213	2821.289				24.5
214	2821.291				24.4
215	2821.300				24.5
216	2821.302				24.6
217	2821.306				24.5
218	2821.318				24.6
219	2821.321				24.5
220	2821.325				25.1
221	2821.354				24.6
222	2821.358				24.6
223	2821.367				24.8
224	2821.374				24.6
225	2821.376				24.5
226	2821.391				23.6
227	2821.453				24.6
228	2821.458				24.6
229	2821.485				24.7
230	2821.491				24.6
231	2821.502				24.6
232	2822.336				24.6
233	2822.345				24.7
234	2822.351				24.7
235	2822.356				24.3
236	2822.372				24.2
237	2822.376				24.4
238	2822.466				24.3
239	2822.471				24.4
240	2822.474				24.5
241	2822.482				24.0
242	2822.487				24.7
243	2822.488				24.2
244	2822.493				24.6
245	2822.497				3.3
246	2822.516				24.5
247	2822.519				25.0
248	2822.523				24.8
249	2822.555				24.7
250	2822.563				24.7
251	2822.566				24.6
252	2822.573				24.7
253	2822.577				24.6
254	2822.585				24.5
255	2822.592				24.6
256	2822.615				24.5
257	2822.619				24.1
258	2822.622				24.7
259	2822.633				24.5
260	2822.637				24.6
261	2822.642				24.6
262	2822.650				24.4
263	2822.660				24.8
264	2822.668				24.5
265	2822.682				25.1
266	2822.685				24.5
267	2822.687				24.3
268	2822.696				24.8
269	2822.757				24.2
270	2822.766				24.6
271	2822.773				24.6
272	2822.789				24.4
273	2822.818				24.2
274	2822.822				24.7
275	2822.855				24.5
276	2822.869				24.5
277	2823.543				24.8
278	2823.817				24.6
279	2823.835				24.4
280	2823.845				24.7
281	2823.967				25.0
282	2824.017				24.5
283	2824.022				24.4
284	2824.025				24.4
285	2824.036				24.4
286	2824.040				24.5
287	2824.053				25.1
288	2824.073				25.4
289	2824.084				24.3
290	2824.087				24.6
291	2824.092				23.4
292	2824.163				24.5
293	2824.186				24.6
294	2824.189				24.6
295	2824.193				24.4
296	2824.200				24.2
297	2824.209				24.6
298	2824.221				24.7
299	2824.226				24.7
300	2824.234				24.5
301	2824.238				24.1
302	2824.241				24.8
303	2824.251				24.3
304	2824.255				24.4
305	2824.258				24.7
306	2824.268				26.0
307	2824.273				24.6
308	2824.275				25.1
309	2824.285				24.9
310	2824.290				24.7
311	2824.294				23.2
312	2824.300				26.9
313	2824.305				22.8
314	2824.312				24.6
315	2824.316				25.2
316	2824.323				24.7
317	2824.334				24.6
318	2824.339				24.6
319	2824.343				24.5
320	2824.349				24.0
321	2824.352				24.6
322	2824.358				24.7
323	2824.369				24.7
324	2825.217				24.7
325	2825.252				24.8
326	2825.258				24.8
327	2825.621				24.7
328	2825.652				24.4
329	2825.657				24.6
330	2825.700				24.6
331	2825.706				24.6
332	2825.719				24.7
333	2825.723				24.9
334	2825.725				24.7
335	2825.733				24.7
336	2825.742				24.7
337	2825.749				24.3
338	2825.755				24.4
339	2825.758				24.4
340	2825.766				24.8
341	2825.771				24.3
342	2825.775				24.6
343	2825.785				24.5
344	2825.789				24.6
345	2825.798				24.6
346	2825.810				24.9
347	2825.816				24.7
348	2825.822				24.6
349	2825.825				24.6
350	2825.834				24.6
351	2825.841				24.5
352	2825.846				23.9
353	2825.853				24.6
354	2825.855				24.3
355	2825.867				24.4
356	2825.869				24.6
357	2825.872				24.4
358	2825.878				24.6
359	2825.884				24.6
360	2826.261				25.0
361	2826.278				24.6
362	2826.292				24.6
363	2826.299				24.7
364	2826.317				24.7
365	2826.324				24.7
366	2826.330				24.4
367	2826.334				24.6
368	2826.343				24.6
369	2826.353				24.5
370	2826.366				24.6
371	2826.369				24.4
372	2826.374				24.8
373	2826.377				24.3
374	2826.383				24.7
375	2826.392				24.7
376	2826.398				24.5
377	2826.407				24.7
378	2826.410				24.5
379	2826.416				24.2
380	2826.441				25.2
381	2826.444				24.6
382	2826.683				25.1
383	2826.706				24.8
384	2826.758				24.5
385	2835.281				24.5
386	2835.294				24.9
387	2835.298				24.6
388	2835.304				24.5
389	2835.320				24.5
390	2835.322				24.5
391	2835.354				24.6
392	2835.367				25.0
393	2835.371				24.5
394	2835.532				24.6
395	2835.538				24.4
396	2835.564				24.6
397	2835.580				24.3
398	2835.614				23.7
399	2835.638				24.4
400	2835.665				24.5
401	2835.669				24.3
402	2835.672				24.2
403	2835.683				24.8
404	2835.687				24.6
405	2835.691				24.0
406	2835.698				24.5
407	2835.704				24.4
408	2835.714				24.3
409	2835.747				24.7
410	2835.753				24.2
411	2835.772				24.2
412	2835.815				23.6
413	2835.832				24.3
414	2835.838				24.5
415	2835.853				24.3
416	2835.865				24.3
417	2835.873				24.4
418	2835.880				30.1
419	2835.897				24.7
420	2835.902				24.4
421	2835.906				24.5
422	2835.907				24.7
423	2835.915				26.2
424	2835.924				24.7
425	2835.931				24.6
426	2835.937				24.2
427	2835.944				25.2
428	2835.949				24.6
429	2835.952				25.3
430	2835.955				24.5
431	2835.957				24.3
432	2835.984				25.1
433	2835.987				24.5
434	2835.990				24.7
435	2836.001				24.6
436	2836.005				24.5
437	2836.007				24.4
438	2836.016				22.9
439	2836.019				25.0
440	2836.021				24.7
441	2860.644				36.7
442	2870.674				36.6
443	2881.354				36.0
444	2890.274				36.9
445	2890.279				58.6
446	2901.403				36.7
447	3003.161				36.5
448	3012.395				36.5
449	3021.067				36.6
450	3021.072				56.8
451	3028.779				36.6
452	3035.773				36.6
453	3042.171				36.4
454	3049.852				36.5
455	3057.109				35.9
456	3064.532				36.5
457	3072.387				36.7
458	3080.240				36.4
459	3086.723				36.6
460	3108.143				36.6
461	3114.880				35.9
462	3124.278				35.8
463	3124.283				34.5
464	3129.567				36.6
465	3136.833				36.7
466	3145.063				36.6
467	3163.910				36.5
468	3163.919				32.6
469	3170.958				36.1
470	3170.966				21.8
471	3180.588				36.1
472	3180.594				54.4
473	3186.830				36.4
474	3196.909				36.4
475	3196.915				56.9
476	3204.359				36.6
477	3214.595				35.1
478	3240.792				36.5
479	3251.773				35.6
480	3259.951				36.6
481	3259.956				51.7
482	3266.825				36.4
483	3275.283				36.7
484	3283.965				36.5
485	3294.744				36.7
486	3303.099				36.5
487	3311.570				36.5
488	3319.740				36.0
489	3329.085				36.3
490	3329.091				58.9
491	3336.024				36.9
492	3336.032				21.4
493	3345.046				34.8
494	3353.780				35.1
495	3353.786				56.4
496	3362.658				36.2
497	3396.557				43.1
498	3414.286				36.2
499	3422.214				36.3
500	3422.223				21.2
501	3429.678				36.0
502	3429.684				50.4
503	3438.939				36.7
504	3438.946				26.4
505	3450.014				36.5
506	3450.019				60.3
507	3459.385				36.5
508	3459.390				47.0
509	3469.304				36.5
510	3479.086				36.5
511	3479.094				29.5
512	3486.332				36.7
513	3486.339				28.2
514	3495.612				36.7
515	3495.618				59.4
516	3507.347				36.8
517	3517.182				36.3
518	3530.767				36.5
519	3573.238				36.6
520	3593.863				36.3
521	3603.607				36.7
522	3611.856				36.4
523	3620.013				36.6
524	3628.718				36.6
525	3638.955				36.5
526	3649.072				36.4
527	3649.079				22.2
528	3657.257				36.4
529	3657.263				22.9
530	3666.082				36.1
531	3676.712				36.4
532	3688.171				36.7
533	3701.898				35.8
534	3751.362				36.5
535	3751.367				28.4
536	3760.792				35.5
537	3778.659				36.5
538	3785.478				35.7
539	3793.444				36.6
540	3804.571				35.8
541	3813.618				36.3
542	3820.886				36.6
543	3829.948				36.2
544	3829.953				29.9
545	3842.070				36.6
546	3842.076				11.2
547	3850.487				36.6
548	3860.228				36.7
549	3906.410				36.7
550	3906.415				21.2
551	3913.815				36.5
552	3913.820				62.1
553	3922.372				36.7
554	3935.474				35.7
555	3943.330				36.3
556	3952.906				36.7
557	3961.599				36.3
558	3971.258				36.8
559	3980.021				36.5
560	3987.855				36.5
561	3987.863				20.9
562	3994.856				36.5
563	4005.539				36.5
