First Arrival	Channel 1	
1	1.8682	
1	1.9908	
1	0.1594	
1	2.1818	
1	2.032	
1	2.2714	
1	0.7551	
1	1.3918	
1	2.1067	
1	2.1877	
1	1.9118	
1	2.9369	
1	1.8598	
1	1.8354	
1	1.7734	
1	0.1045	
1	2.805	
1	0.2927	
1	1.6892	
1	1.8133	
1	0.171	
1	1.4449	
1	1.9559	
1	2.3518	
1	1.41	
1	1.6052	
1	2.9416	
1	1.5784	
1	0.164	
1	2.0599	
1	0.5573	
1	1.6788	
1	2.0755	
1	2.153	
1	0.3533	
1	2.2636	
1	1.765	
1	2.3313	
1	2.1399	
1	0.9053	
1	2.0725	
1	1.634	
1	2.0273	
1	1.9756	
1	0.2151	
1	2.1527	
1	5.2894	
1	1.8282	
1	2.507	
1	2.7013	
1	1.8769	
1	0.6414	
1	1.3949	
1	1.881	
1	0.2518	
1	1.8302	
1	1.9306	
1	1.9268	
1	0.3806	
1	2.6163	
1	2.1349	
1	0.4609	
1	1.8309	
1	2.0735	
1	1.8944	
1	1.7022	
1	2.0526	
1	1.6876	
1	1.9024	
1	2.1399	
1	2.0037	
1	0.1003	
1	1.9863	
1	2.1219	
1	2.898	
1	1.7181	
1	0.095	
1	1.7305	
1	0.1891	
1	2.0544	
1	1.8197	
1	0.4482	
1	2.4271	
1	2.4119	
1	3.3011	
1	0.3406	
1	1.7078	
1	2.0854	
1	2.0079	
1	1.6275	
1	3.6788	
1	1.3666	
1	1.8391	
1	0.1249	
1	2.5109	
1	0.3292	
1	2.0853	
1	2.5393	
1	1.7841	
1	2.2228	
1	1.3699	
1	2.0673	
1	1.7365	
1	1.8271	
1	2.6967	
1	0.1536	
1	1.9352	
1	2.1792	
1	1.7189	
1	0.0888	
1	1.89	
1	2.2102	
1	2.1329	
1	2.3901	
1	2.0961	
1	2.3912	
1	2.1027	
1	3.5836	
1	2.3432	
1	1.0824	
1	1.9457	
1	2.4052	
1	0.4891	
1	1.9616	
1	1.3524	
1	1.7302	
1	1.6456	
1	1.7021	
1	2.3822	
1	1.6665	
1	1.6416	
1	2.4272	
1	1.8578	
1	0.3513	
1	1.8181	
1	2.1081	
1	0.1421	
1	1.944	
1	2.0188	
1	1.7161	
1	2.0508	
1	2.3783	
1	2.1721	
1	0.1667	
1	2.3711	
1	2.0594	
1	2.0667	
1	0.215	
1	2.4119	
1	2.223	
1	2.7078	
1	2.4596	
1	2.6265	
1	2.3058	
1	0.8448	
1	2.4362	
1	0.1885	
1	1.874	
1	1.8801	
1	2.10	
1	1.9097	
1	2.2572	
1	2.0081	
1	2.1759	
1	1.6353	
1	1.8462	
1	2.1234	
1	0.5604	
1	2.1107	
1	1.9333	
1	1.6945	
1	2.1671	
1	2.1901	
1	0.1922	
1	1.8753	
1	0.663	
1	2.4686	
1	0.3729	
1	2.5038	
1	2.0693	
1	1.7623	
1	2.2111	
1	0.0553	
1	2.3816	
1	1.7601	
1	2.0084	
1	2.4817	
1	2.3683	
1	2.5897	
1	2.1317	
1	2.4767	
1	1.7048	
-1	0.0789	
1	2.4285	
1	0.3429	
1	2.4401	
1	1.5953	
1	1.3404	
1	0.3973	
1	2.2329	
1	0.3493	
1	2.1141	
1	1.5956	
1	2.1157	
1	0.1491	
1	1.8542	
1	2.3133	
1	2.5234	
1	0.1918	
1	2.1927	
1	2.3933	
1	0.476	
1	2.0331	
1	0.1773	
1	2.5166	
1	1.6448	
-1	0.0003	
1	2.7321	
-1	0.0929	
1	1.6531	
1	2.5466	
1	2.0582	
1	2.0099	
1	2.6218	
1	2.6046	
1	0.114	
1	2.0011	
1	1.8288	
1	2.0349	
1	2.5016	
1	1.4998	
1	10.0578	
1	1.9573	
1	0.3685	
1	2.1843	
1	1.7033	
1	1.8776	
1	0.143	
1	2.2399	
1	2.3752	
1	2.6539	
1	0.4708	
1	1.9413	
1	2.133	
1	0.8208	
1	2.5222	
