First Arrival	Channel 1	
1	1.9119	
1	2.6635	
1	2.367	
1	2.2751	
1	2.008	
1	2.0862	
1	2.0183	
1	1.8604	
1	2.1606	
1	0.3125	
1	1.9207	
1	2.6276	
1	2.7557	
1	1.5555	
1	2.0781	
1	0.1449	
1	1.9135	
1	2.0692	
1	0.1032	
1	1.6464	
1	0.1331	
1	1.7936	
1	1.4567	
1	1.6632	
1	0.5397	
1	2.2325	
1	1.8409	
1	1.5176	
1	2.3736	
1	2.8172	
1	2.6419	
1	0.5597	
1	2.2587	
1	2.6524	
1	2.2353	
1	0.182	
1	1.8558	
1	0.3755	
1	2.0772	
1	1.3687	
1	1.8436	
1	1.6033	
1	1.8811	
1	1.9573	
1	1.9512	
1	2.5174	
1	2.8327	
1	0.4863	
1	2.7506	
1	1.9112	
1	2.0618	
1	0.3155	
1	2.0234	
1	2.0255	
1	1.8129	
1	0.1771	
1	1.6185	
1	1.8593	
1	1.6423	
1	1.6397	
1	1.9339	
1	1.6136	
1	2.3076	
1	2.5423	
1	2.0071	
1	2.092	
1	2.1451	
1	0.342	
1	1.834	
1	2.0928	
1	2.2858	
1	2.3978	
1	2.5839	
1	2.3008	
1	2.0458	
1	2.0792	
1	2.5474	
1	7.7416	
1	2.6666	
1	0.5252	
1	6.6957	
1	1.5311	
1	1.8312	
1	2.0972	
1	0.3653	
1	2.077	
1	0.4637	
1	2.3377	
1	0.0633	
1	1.8359	
1	1.5362	
1	1.8585	
1	0.1679	
1	2.2295	
1	2.4679	
1	2.1654	
1	1.5333	
1	2.329	
1	1.4264	
1	2.5818	
1	1.941	
1	1.772	
1	2.4297	
1	1.8668	
1	2.0142	
1	2.3216	
1	1.9297	
1	0.4149	
1	2.0147	
1	1.9566	
1	1.9138	
1	2.3357	
1	2.504	
1	2.9031	
1	1.5165	
1	0.358	
1	1.9069	
1	1.749	
1	2.3724	
1	2.2855	
1	2.1488	
1	0.3391	
1	1.8472	
1	0.3133	
1	2.0247	
1	2.1435	
1	2.0582	
1	2.5749	
1	2.1963	
1	2.1648	
1	1.2385	
1	2.5955	
1	1.4496	
1	0.9987	
1	2.3948	
1	0.72	
1	1.9411	
1	3.0314	
1	1.3768	
1	2.1275	
1	2.068	
1	2.0507	
1	2.0206	
1	1.9996	
1	1.7551	
1	0.143	
1	2.1898	
1	1.982	
1	0.1194	
1	1.538	
1	2.0306	
1	0.2121	
1	1.6797	
1	1.7164	
1	1.9215	
1	1.7661	
1	1.4589	
1	1.6465	
1	1.4974	
1	1.7378	
1	2.4889	
1	2.5048	
1	0.102	
1	1.8121	
1	2.0369	
1	1.7503	
1	1.9075	
1	1.715	
1	0.1984	
1	1.5274	
1	1.9052	
1	1.7642	
1	2.2861	
1	1.8156	
1	1.9562	
1	2.4475	
1	2.4294	
1	0.6664	
1	2.4202	
1	1.5713	
1	1.708	
1	1.9671	
1	2.0673	
1	1.4863	
1	2.2036	
1	1.6166	
1	2.016	
1	2.2222	
1	1.9349	
1	2.4893	
1	0.2172	
1	2.3968	
1	2.5547	
1	1.7904	
1	2.2319	
1	0.5768	
1	1.8479	
1	2.0342	
1	2.2255	
1	0.6988	
1	1.1494	
1	1.9915	
1	1.8195	
1	2.0819	
