Event No.	Time	X	Y	Z	Arr Time 1
1	24.054				36.6
2	77.122				36.5
3	106.536				36.5
4	124.071				36.5
5	170.398				36.6
6	1081.431				36.5
7	1107.170				36.6
8	1123.303				36.6
9	1167.998				36.6
10	1168.004				59.5
11	1185.210				36.6
12	1244.156				36.6
13	1259.211				36.6
14	1259.216				64.8
15	1279.602				36.6
16	1279.608				36.3
17	1306.978				36.7
18	1335.420				36.6
19	1335.425				31.3
20	1354.861				36.5
21	1354.866				24.4
22	1378.966				36.6
23	1394.124				36.6
24	1412.932				36.4
25	1412.938				46.0
26	1428.611				36.6
27	1449.532				36.6
28	1471.765				36.5
29	1536.695				36.6
30	1608.079				36.6
31	1624.679				36.5
32	1624.684				64.0
33	1639.685				36.6
34	1660.389				36.7
35	1690.902				36.6
36	1690.908				27.0
37	1706.081				36.5
38	1706.086				27.9
39	1720.601				36.5
40	1737.244				36.5
41	1754.414				36.6
42	1771.902				36.5
43	1786.779				36.5
44	1805.391				36.5
45	1818.947				36.6
46	1876.880				36.7
47	1890.609				36.6
48	1890.613				58.0
49	1903.973				36.6
50	1918.484				36.6
51	1931.116				36.4
52	1931.122				23.3
53	1942.175				36.6
54	1955.332				36.5
55	1965.691				36.4
56	1965.697				26.0
57	1976.412				36.5
58	1986.612				36.4
59	1997.894				36.5
60	2017.272				36.5
61	2042.524				36.4
62	2057.258				36.6
63	2212.520				36.5
64	2227.070				36.7
65	2241.920				36.5
66	2256.068				36.5
67	2279.275				36.7
68	2279.283				21.4
69	2308.972				36.6
70	2330.461				36.6
71	2351.477				36.7
72	2367.385				36.6
73	2394.225				36.7
74	2409.197				36.7
75	2427.208				36.7
76	2446.894				36.6
77	2502.547				36.7
78	2502.552				55.4
79	2517.841				36.7
80	2517.847				27.7
81	2530.831				50.4
82	2546.733				36.4
83	2557.621				36.7
84	2570.530				36.7
85	2570.535				50.4
86	2582.236				36.6
87	2582.241				29.1
88	2594.980				36.8
89	2594.985				23.9
90	2611.122				36.6
91	2626.634				36.5
92	2640.804				36.7
93	2640.811				22.4
94	2653.585				36.6
95	2653.592				69.9
96	2666.895				36.8
97	2716.912				36.5
98	2729.051				36.6
99	2729.056				60.9
100	2739.664				36.6
101	2749.256				36.6
102	2761.813				36.5
103	2771.430				36.6
104	2781.404				36.6
105	2791.211				36.5
106	2800.407				36.7
107	2809.389				36.6
108	2809.394				54.8
109	2817.389				36.6
110	2825.759				36.7
111	2835.281				36.7
112	3017.584				36.6
113	3038.516				36.7
114	3054.605				37.9
115	3068.829				35.6
116	3068.836				60.2
117	3084.138				36.6
118	3104.754				36.7
119	3118.482				36.6
120	3136.808				36.7
121	3153.835				36.6
122	3153.842				21.8
123	3167.679				36.6
124	3167.686				34.7
125	3181.616				36.6
126	3196.557				36.5
127	3211.161				36.4
128	3267.070				36.7
129	3267.075				63.3
130	3279.491				36.7
131	3279.495				64.8
132	3291.198				36.6
133	3301.544				36.6
134	3376.398				35.8
135	3390.098				36.7
136	3390.103				64.3
137	3402.969				36.7
138	3417.326				33.6
139	3432.535				36.7
140	3444.011				36.7
141	3455.380				36.5
142	3465.786				36.7
143	3476.178				36.6
144	3508.841				36.3
145	3562.801				36.7
146	3562.809				20.7
147	3577.036				36.6
148	3591.248				36.7
149	3591.254				37.3
150	3604.873				36.6
151	3619.259				36.6
152	3619.264				57.8
153	3634.396				36.5
154	3649.616				36.5
155	3663.043				36.6
156	3676.529				36.5
157	3688.872				36.5
158	3701.643				36.5
159	3715.843				36.6
160	3730.132				36.6
161	3771.890				36.7
162	3784.794				36.7
163	3784.799				25.8
164	3797.360				36.7
165	3812.265				36.7
166	3823.382				36.6
167	3869.468				36.6
168	3881.780				36.5
169	3881.906				89.0
170	3895.131				36.6
171	3908.100				36.6
172	3920.275				36.7
173	3932.235				36.8
174	3944.605				36.6
175	3955.871				36.6
176	3998.654				36.7
177	4009.103				36.7
178	4009.108				53.2
179	4019.272				36.8
180	4030.823				36.5
181	4044.911				36.6
182	4058.697				36.7
183	4071.462				36.7
184	4087.236				36.9
185	4103.497				36.7
186	4150.146				36.6
187	4163.356				36.6
188	4176.853				36.7
189	4193.062				36.7
190	4241.451				36.7
191	4241.456				59.1
192	4255.182				36.7
193	4270.437				36.6
194	4282.564				36.7
195	4297.550				36.7
196	4297.558				47.3
197	4314.928				36.7
198	4332.525				36.5
199	4347.528				36.7
200	4347.534				30.5
201	4365.195				35.8
202	4379.390				36.6
203	4391.853				36.7
204	4404.138				36.7
