Event,Time,hit time
1,24.054,24.054
2,77.122,53.068
3,106.536,29.414
4,124.071,17.535
5,170.398,46.327
6,1081.431,911.033
7,1107.17,25.739
8,1123.303,16.133
9,1167.998,44.695
11,1185.21,17.206
12,1244.156,58.946
13,1259.211,15.055
15,1279.602,20.386
17,1306.978,27.37
18,1335.42,28.442
20,1354.861,19.436
22,1378.966,24.1
23,1394.124,15.158
24,1412.932,18.808
26,1428.611,15.673
27,1449.532,20.921
28,1471.765,22.233
29,1536.695,64.93
30,1608.079,71.384
31,1624.679,16.6
33,1639.685,15.001
34,1660.389,20.704
35,1690.902,30.513
37,1706.081,15.173
39,1720.601,14.515
40,1737.244,16.643
41,1754.414,17.17
42,1771.902,17.488
43,1786.779,14.877
44,1805.391,18.612
45,1818.947,13.556
46,1876.88,57.933
47,1890.609,13.729
49,1903.973,13.36
50,1918.484,14.511
51,1931.116,12.632
53,1942.175,11.053
54,1955.332,13.157
55,1965.691,10.359
57,1976.412,10.715
58,1986.612,10.2
59,1997.894,11.282
60,2017.272,19.378
61,2042.524,25.252
62,2057.258,14.734
63,2212.52,155.262
64,2227.07,14.55
65,2241.92,14.85
66,2256.068,14.148
67,2279.275,23.207
69,2308.972,29.689
70,2330.461,21.489
71,2351.477,21.016
72,2367.385,15.908
73,2394.225,26.84
74,2409.197,14.972
75,2427.208,18.011
76,2446.894,19.686
77,2502.547,55.653
79,2517.841,15.289
81,2530.831,12.984
82,2546.733,15.902
83,2557.621,10.888
84,2570.53,12.909
86,2582.236,11.701
88,2594.98,12.739
90,2611.122,16.137
91,2626.634,15.512
92,2640.804,14.17
94,2653.585,12.774
96,2666.895,13.303
97,2716.912,50.017
98,2729.051,12.139
100,2739.664,10.608
101,2749.256,9.592
102,2761.813,12.557
103,2771.43,9.617
104,2781.404,9.974
105,2791.211,9.807
106,2800.407,9.196
107,2809.389,8.982
109,2817.389,7.995
110,2825.759,8.37
111,2835.281,9.522
112,3017.584,182.303
113,3038.516,20.932
114,3054.605,16.089
115,3068.829,14.224
117,3084.138,15.302
118,3104.754,20.616
119,3118.482,13.728
120,3136.808,18.326
121,3153.835,17.027
123,3167.679,13.837
125,3181.616,13.93
126,3196.557,14.941
127,3211.161,14.604
128,3267.07,55.909
130,3279.491,12.416
132,3291.198,11.703
133,3301.544,10.346
134,3376.398,74.854
135,3390.098,13.7
137,3402.969,12.866
138,3417.326,14.357
139,3432.535,15.209
140,3444.011,11.476
141,3455.38,11.369
142,3465.786,10.406
143,3476.178,10.392
144,3508.841,32.663
145,3562.801,53.96
147,3577.036,14.227
148,3591.248,14.212
150,3604.873,13.619
151,3619.259,14.386
153,3634.396,15.132
154,3649.616,15.22
155,3663.043,13.427
156,3676.529,13.486
157,3688.872,12.343
158,3701.643,12.771
159,3715.843,14.2
160,3730.132,14.289
161,3771.89,41.758
162,3784.794,12.904
164,3797.36,12.561
165,3812.265,14.905
166,3823.382,11.117
167,3869.468,46.086
168,3881.78,12.312
170,3895.131,13.225
171,3908.1,12.969
172,3920.275,12.175
173,3932.235,11.96
174,3944.605,12.37
175,3955.871,11.266
176,3998.654,42.783
177,4009.103,10.449
179,4019.272,10.164
180,4030.823,11.551
181,4044.911,14.088
182,4058.697,13.786
183,4071.462,12.765
184,4087.236,15.774
185,4103.497,16.261
186,4150.146,46.649
187,4163.356,13.21
188,4176.853,13.497
189,4193.062,16.209
190,4241.451,48.389
192,4255.182,13.726
193,4270.437,15.255
194,4282.564,12.127
195,4297.55,14.986
197,4314.928,17.37
198,4332.525,17.597
199,4347.528,15.003
201,4365.195,17.661
202,4379.39,14.195
203,4391.853,12.463
204,4404.138,12.285
