First Arrival	Channel 1	
1	3.1629	
1	0.317	
1	3.0236	
1	0.1044	
1	2.6214	
1	0.3547	
1	3.1661	
1	0.4894	
1	2.809	
1	0.2157	
1	3.4258	
1	2.9252	
1	0.7257	
1	3.5496	
1	0.46	
1	1.8497	
1	4.37	
1	0.4239	
1	3.7981	
1	0.3259	
1	2.7511	
1	0.1779	
1	2.6179	
1	3.5343	
1	0.5244	
1	2.6414	
1	0.3193	
1	2.3627	
1	0.9918	
1	3.0285	
1	0.1701	
1	2.5414	
1	1.3744	
1	2.9646	
1	2.7938	
1	0.1149	
1	2.5065	
1	2.6832	
1	0.3919	
1	2.5658	
1	2.5309	
1	0.4078	
1	3.1927	
1	0.4551	
1	3.0591	
1	0.2953	
1	3.1441	
1	0.9322	
1	2.4835	
1	0.3692	
1	2.9236	
1	4.0566	
1	0.5264	
1	2.6733	
1	2.3263	
1	2.5118	
1	0.156	
1	2.8313	
1	1.2148	
1	2.971	
1	0.7765	
1	2.8719	
1	1.1601	
1	5.2373	
1	0.3147	
1	3.1453	
1	0.5493	
1	2.6867	
1	3.3138	
1	0.404	
1	2.984	
1	0.4915	
1	3.3181	
1	0.3842	
1	3.0192	
1	0.6746	
1	3.3826	
1	3.2573	
1	0.2878	
1	2.7383	
1	3.1158	
1	3.2483	
1	0.1445	
1	2.6185	
1	0.1717	
1	2.8311	
1	4.0174	
1	3.4731	
1	3.9668	
1	0.6741	
1	2.6695	
1	2.6597	
1	0.4019	
1	2.885	
1	0.2999	
1	2.8981	
1	2.6296	
1	1.0839	
1	2.6805	
1	2.4867	
1	0.4421	
1	2.7682	
1	0.2365	
1	6.3198	
1	2.2778	
1	0.1859	
1	3.1903	
1	2.9804	
1	0.3329	
1	2.4642	
1	0.3708	
1	3.0039	
1	2.6388	
1	2.6932	
1	0.2057	
1	2.3212	
1	0.3627	
1	2.6517	
1	0.2576	
1	2.3081	
1	2.7754	
1	0.1719	
1	2.3163	
1	3.5221	
1	0.6882	
1	0.4879	
1	3.0244	
1	0.6189	
1	3.2818	
1	0.9308	
1	2.5417	
1	2.468	
1	2.4098	
1	0.085	
1	2.037	
1	0.5986	
1	2.6508	
1	0.1378	
1	2.5689	
1	2.1313	
1	2.0003	
1	3.2289	
1	2.7694	
1	2.7175	
1	0.5528	
1	2.4122	
1	2.751	
1	2.7816	
1	0.2398	
1	3.2945	
1	0.6885	
1	2.7776	
