Event,Time
1,3.801
3,17.857
5,24.032
7,29.843
9,37.379
11,46.074
12,50.605
14,56.258
16,72.829
17,82.256
19,91.29
21,108.059
23,115.284
24,122.434
26,129.647
28,136.658
30,144.28
32,150.888
34,157.729
35,166.035
37,175.956
38,184.678
40,192.235
41,198.838
43,211.101
45,228.03
47,236.015
49,243.271
51,250.704
52,257.83
54,271.061
55,278.822
56,287.119
58,294.254
60,306.034
62,315.294
64,325.35
66,354.601
68,361.626
69,370.836
71,378.639
73,387.121
75,395.129
77,404.322
78,413.141
80,422.259
81,432.393
82,441.366
84,449.953
86,472.845
87,485.79
88,496.19
89,502.574
91,524.06
92,534.061
94,542.34
96,551.404
97,559.82
99,566.853
100,573.329
102,584.466
104,592.901
105,609.965
107,618.129
108,625.458
110,635.829
112,647.523
113,656.836
114,667.191
116,677.332
118,684.985
120,692.2
121,701.33
123,709.937
124,741.484
126,741.655
127,763.604
129,772.249
131,779.723
132,787.713
133,799.933
135,808.718
137,818.25
139,827.1
140,837.218
141,846.717
142,920.958
143,928.409
144,935.918
146,947.118
147,961.149
148,968.203
150,977.064
152,986.174
